ACF_1,Symbol
0.3054731127422015,ACGLP
-0.23622842329778465,ALTR
0.4523868672773982,AMR
-0.23501416195877636,ANDA
0.20138006748368512,ATOM
0.6981278764599343,BLBD
-0.20253988598146508,BNCL
0.23382953263810574,BRAC
-0.34044210202211267,BRPAR
-0.21230018477438425,BVSN
0.4445519280273136,CCUR
0.20368693222068707,CMTA
0.7140806854307723,CODA
0.40653347865867184,COWNZ
-0.21064091431981885,CTXR
0.29453792461705086,DNLI
0.28861127858133373,DOVA
0.22661444067339717,EQRR
0.2042130317648206,EXXI
-0.32428549095318054,FBIOP
0.40606870009190166,FMCI
0.22954207439625443,FNKO
0.2140007003590651,GSHT
0.265121975075913,IFRX
-0.20169584865973994,IMTE
0.3871985259568697,LFIN
0.24257704512083123,LGCYP
-0.2227611499820604,LMRK
0.21041293110225295,MELR
-0.23069307227362063,MRBK
0.20414603438761622,NCNA
0.33241092149530554,NYMTN
0.387207079188506,ODT
0.4830168862081466,PPSI
0.6378063742473279,PTSI
0.9082848444882269,RGLD
-0.20392620903349515,RILYZ
-0.25941122261028055,RNDV
-0.21925459708340136,RYTM
0.21424377809560202,SCPH
0.2175276706899175,SENEB
0.2945102345325306,STKL
0.20041521526974768,SVRA
0.27532756795024843,USMC
-0.30743645919710955,VSDA
0.498206093418049,WRLS
0.23965396343235476,WSC
0.26603687288018557,ZEAL
0.2956060724608514,ARCH
0.27827392727728906,AVYA
0.4086421243061563,BST
0.3847041468969872,CBO
0.2193918490731869,CTR
0.2165060008521474,DRUA
-0.22147807870102837,DVD
0.2152904236018187,EURN
-0.2583741296551471,GFF
0.20813799306307357,GRAM
-0.2691507381081442,HFRO
0.26882764572615764,LBRT
0.2848595349674388,LMHB
0.3072094091695441,MAXR
0.23591974077660754,PBB
-0.22188578722414404,PPDF
0.23020237903558816,RZB
0.48078630579090303,SNR
0.3084840629882878,SOJC
0.20796226530261375,VLT
0.23421506418326715,VRS
0.31539498439692143,EVI
-0.22570217657176014,FSP
0.37886264875819753,FTNW
0.2864758271571603,GLF
0.2068832236668813,IBIO
0.29863200721047606,NES
0.43389813817099737,RWC
