ACF_1,Symbol
-0.25916143305932016,AAME
-0.2274605164378744,ABCB
-0.2907912279334847,ACNB
-0.46683876218768766,ACST
0.21475801003972886,ACT
0.2309624098181395,ADOM
-0.20479528248045822,AGNCB
-0.2835470563491757,AGND
-0.3472537735317579,AGZD
-0.46144914266134107,AHPA
-0.22630461329164103,AHPI
-0.3129117056649843,AKRX
0.20849765156162983,ALNA
-0.3835748223808049,ALT
-0.2253680971561304,ALTR
-0.2828374997287381,ALTY
-0.25531931767131893,AMEH
0.38175746521792664,AMR
-0.220643689930837,ANCB
-0.2035751226616656,ANDA
-0.254350695402076,APOP
-0.2132864438331352,APPS
-0.26589972210952745,APWC
0.36567410665051664,AQB
0.21281258437917755,AQXP
-0.23366530422279036,ARCI
-0.28162281689757795,AROW
-0.22081345298322394,ARTNA
-0.2589552762189443,ASRV
-0.24107703334697453,ASRVP
-0.21999186675289045,ASV
-0.49767589676490337,ATAC
-0.32869285017721733,ATAX
-0.23706920477184842,ATRO
-0.36138732216271113,AUBN
-0.40922583729806444,AVGR
-0.23664948211184123,AXGN
-0.31530750360535703,BANFP
-0.31926106737872717,BCTF
-0.45507179039731693,BHAC
-0.4875288216239657,BLBD
0.20348516966951688,BLCN
-0.2620960186573022,BLFS
-0.22131188351349262,BMTC
-0.21840246354709258,BNCL
-0.20081914477261792,BOCH
-0.3094697400898093,BOFIL
-0.2564258509184484,BOKF
-0.3189956021067252,BOXL
-0.41581978742168735,BPFHP
-0.20025494233980332,BRAC
-0.2519521196456211,BRID
-0.2685290698073577,BRPA
-0.2867146399824145,BRPAU
-0.273589385841879,BURG
-0.38935751492494824,BVSN
-0.2088713279507346,BYFC
-0.412151327930737,CBAN
-0.21050489105167566,CBMG
0.25725924023155117,CDMOP
-0.2288465983844783,CDXC
-0.22603253571297838,CELH
-0.48607615486900346,CEZ
-0.2152003172505864,CHCO
-0.24022455958472347,CHFC
-0.222400005663586,CHSCP
-0.4410316142676709,CIL
-0.5402909323020306,CLAR
-0.2736957808165608,CNBKA
-0.32356137281040004,CODA
-0.20881177185683156,CPHC
-0.34029181282315035,CPTAL
-0.4411064483584537,CSB
-0.25140239807097126,CSBK
-0.2273194728143576,CSBR
-0.35211148951062143,CSF
-0.2662866030675977,CSJ
-0.25021627198071494,CTBI
-0.26536270195880013,CTWS
-0.21022431346870718,CUI
-0.254702734813317,CVCY
-0.20258423864894634,CVLY
-0.28342150311620035,CXDC
-0.22787659378477906,CZWI
-0.4182252392521469,DFFN
-0.20237536680788193,DGICA
-0.2789971319967572,DHIL
-0.20558606714691416,DLHC
-0.21649971116379105,DNBF
0.2680206513428625,DNLI
-0.21627381450328045,DORM
-0.32829733287824586,DOTA
0.2280708110975742,DOVA
-0.22925505028917906,DTUL
-0.29821715634669305,DTUS
-0.21465567018933818,DYNT
-0.3163026241164617,EACQ
-0.5823915959515225,EAGLU
-0.22367323060510827,EBSB
-0.26224607883209594,EFAS
-0.2026241922253733,EMCF
-0.20295716236825692,EMCI
-0.23337212183368883,ENFC
-0.2565725175642972,ERIE
-0.4633476314944466,ERYP
-0.20827103834666313,ESSA
-0.44294158483460533,EVLMC
-0.22162490721837316,EXPO
-0.20780510817363776,FBNC
-0.23515328546005188,FCAP
-0.20265896114142049,FCCO
-0.22501326128248594,FCCY
-0.24919868299834474,FDIV
-0.20816372051157878,FEIM
-0.30389943584829654,FEMS
-0.3751249907825126,FHB
-0.26029600147591647,FIXD
-0.36162827244579615,FLAT
-0.20203477197821093,FLXS
-0.22460159382171044,FMB
-0.3536015116912109,FMHI
-0.23241279346369756,FORD
-0.21230249310486307,FRME
-0.2004135945994428,FSAC
-0.4596805381756302,FTAG
-0.2108044866877763,FULT
-0.22097941752247446,FUNC
-0.21812427832923864,GABC
-0.4115413261121689,GAINM
-0.3683595236427115,GAINN
-0.27093697456902066,GAINO
-0.22874011907217182,GBCI
-0.2372022302271616,GBLIZ
-0.22477208710229132,GCBC
-0.24985789693010094,GFNCP
-0.3403867530877397,GLADN
-0.3598178968537561,GLBZ
-0.23246660763327806,GLPG
-0.3223421854380931,GNMA
-0.2895921622971849,GOODM
-0.26087689266704434,GOODO
-0.2947543062276913,GPIC
-0.27421418356761107,GSHT
-0.35462806060593255,GTYH
-0.2780718523483472,GTYHU
-0.21483315755382631,GWGH
-0.21439819292987503,HBANN
-0.22381286922409677,HBK
-0.28203411606266043,HBP
-0.23551276960432943,HFBC
-0.20106378806692413,HIFS
-0.3268969183367395,HLG
-0.20857070610613906,HNNA
-0.4723247093859545,HUNT
-0.30226570923108814,HWKN
-0.2000561281008222,HX
-0.2413747564393047,HYND
-0.2320344508069238,HYZD
-0.2679739485889256,IBKCO
-0.30338862937513456,IBKCP
-0.21508052708225345,ICCC
-0.20984182027875845,IFEU
-0.24874702332736504,IKNX
-0.23797148500180274,IMMY
-0.3306821083387269,INBKL
-0.21840154238253326,INDB
-0.21602022770094598,IROQ
-0.21242298695066758,ISTB
-0.313937324891477,ISTR
-0.26880615467068686,ITIC
-0.3717734318024271,KBSF
-0.31392124139761124,KFFB
-0.29880876295344283,KINS
-0.21746172721545,KOSS
-0.20412151134925288,KTCC
-0.2435266288905778,LABL
-0.2676635946498523,LALT
-0.4152791781441758,LANDP
-0.21128385397992366,LBAI
-0.5034386735910988,LBC
-0.21482784118391354,LCNB
-0.4292012160483662,LDRI
0.4201491889105757,LFIN
-0.2663987153142861,LIND
-0.23120721280748951,LKFN
-0.20724491369401393,LLEX
-0.23780885730796464,LMAT
-0.24670468486114597,LMBS
-0.28802578667432915,LMRK
-0.2895462206527232,LMRKP
-0.25284037864453957,LSBK
-0.21004146546332841,LTRPB
-0.24550282036498292,LYL
-0.2603004317029094,MARA
-0.20142570416926592,MAYS
-0.43418691872669263,MB
-0.36133576130043227,MBFIP
-0.3069181121104944,MBSD
-0.44260636605210996,MDGS
-0.21070055254869507,MGEE
-0.24828383154498357,MGYR
-0.26713367968206136,MINDP
-0.4015765912323085,MMDM
-0.2025776148125803,MOMO
-0.26784385149850165,MSEX
-0.20268481316176354,MSFG
-0.2229764204035181,MSON
-0.28824471102443244,MYND
